occ_dow,occ_year,premises_type,mci_category
Wednesday,2013,Apartment,Break and Enter
Thursday,2013,Apartment,Break and Enter
Tuesday,2013,Commercial,Robbery
Thursday,2014,Outside,Auto Theft
Friday,2014,Commercial,Robbery
Friday,2014,Commercial,Assault
Friday,2014,Apartment,Break and Enter
Friday,2014,Commercial,Break and Enter
Friday,2014,Outside,Assault
Tuesday,2013,Outside,Theft Over
Friday,2014,Commercial,Theft Over
Friday,2014,Outside,Auto Theft
Friday,2014,Apartment,Assault
Friday,2014,Commercial,Robbery
Friday,2014,Commercial,Assault
Friday,2014,Commercial,Theft Over
Friday,2014,Apartment,Break and Enter
Friday,2014,House,Break and Enter
Friday,2014,House,Break and Enter
Friday,2014,Apartment,Assault
Friday,2014,Commercial,Break and Enter
Thursday,2014,Commercial,Break and Enter
Thursday,2014,Other,Assault
Thursday,2014,Apartment,Break and Enter
Thursday,2014,Commercial,Break and Enter
Thursday,2014,Commercial,Assault
Friday,2014,Apartment,Assault
Friday,2014,Outside,Assault
Friday,2014,House,Break and Enter
Friday,2014,Outside,Assault
Friday,2014,Apartment,Assault
Friday,2014,House,Break and Enter
Friday,2014,House,Break and Enter
Friday,2014,House,Assault
Friday,2014,Apartment,Assault
Friday,2014,House,Break and Enter
Friday,2014,House,Break and Enter
Friday,2014,Apartment,Assault
Friday,2014,Commercial,Assault
Friday,2014,Commercial,Break and Enter
Friday,2014,Commercial,Break and Enter
Thursday,2014,Apartment,Auto Theft
Friday,2014,Outside,Assault
Friday,2014,Commercial,Break and Enter
Friday,2014,Outside,Assault
Friday,2014,Outside,Auto Theft
Friday,2013,House,Auto Theft
Friday,2014,Outside,Assault
Thursday,2013,Other,Assault
Thursday,2014,Apartment,Assault
Friday,2014,Outside,Auto Theft
Thursday,2014,Outside,Auto Theft
Saturday,2014,Apartment,Assault
Friday,2013,Apartment,Assault
Saturday,2014,Commercial,Assault
Saturday,2014,Commercial,Assault
Saturday,2014,House,Break and Enter
Saturday,2014,House,Break and Enter
Saturday,2014,Commercial,Assault
Saturday,2014,Commercial,Robbery
Saturday,2014,House,Break and Enter
Saturday,2014,Commercial,Robbery
Wednesday,2013,Apartment,Assault
Saturday,2014,Outside,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,Commercial,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,House,Assault
Saturday,2014,House,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,House,Break and Enter
Saturday,2014,House,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,Apartment,Break and Enter
Saturday,2014,Apartment,Robbery
Saturday,2014,Outside,Assault
Saturday,2014,Other,Assault
Saturday,2014,Commercial,Assault
Saturday,2014,Commercial,Assault
Saturday,2014,Apartment,Assault
Monday,2013,Apartment,Assault
Saturday,2014,House,Auto Theft
Saturday,2014,House,Assault
